g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
15	168	0.065211	95.9567	1537.6	0.810292	37975	296.08	505662	6458.79
15	167	0.0717779	96.3455	628.348	1.09622	70654.5	361.809	65524.3	4956.48
15	158	0.0871467	74.8421	639.227	0.809096	71517.3	298.045	400630	4940.92
15	148	0.0939956	71.4053	2652.18	0.807935	71653.2	503.151	65622.7	4952.25
15	163	0.0949861	75.0354	2678.15	0.800292	71958.4	501.995	65931.8	4959.2
15	132	0.0955749	83.5829	1530.68	1.14852	37910.6	361.92	506166	6470.78
15	119	0.10162	77.8946	634.335	1.0964	38123.8	364.927	456444	3635.23
15	140	0.105314	98.6695	632.977	1.08464	71746.7	496.639	402618	6479.63
16	44	0.0277429	69.4148	1102.82	1.52446	30674.7	172.877	145861	2491.9
16	171	0.0510592	95.8839	634.575	1.10482	70872	294.53	65779.7	4932.59
16	160	0.0563507	95.5849	638.592	0.808993	71124	296.816	65346.6	4923.71
16	173	0.062687	82.9639	1540.09	0.815539	37931.2	296.71	502775	6475.88
16	168	0.065211	95.9567	1537.6	0.810292	37975	296.08	505662	6458.79
16	167	0.0717779	96.3455	628.348	1.09622	70654.5	361.809	65524.3	4956.48
16	174	0.0850171	74.2735	643.646	0.807242	70530.4	296.235	403715	4897.41
16	158	0.0871467	74.8421	639.227	0.809096	71517.3	298.045	400630	4940.92
16	148	0.0939956	71.4053	2652.18	0.807935	71653.2	503.151	65622.7	4952.25
16	163	0.0949861	75.0354	2678.15	0.800292	71958.4	501.995	65931.8	4959.2
17	44	0.0261015	70.1663	992.541	1.6769	30114.3	171.362	131275	2242.71
17	184	0.0502856	95.2546	634.092	1.09536	70786.2	300.192	66212.7	4920.74
17	186	0.050718	95.0485	640.251	1.11281	70950.4	295.345	65361.6	4942.71
17	171	0.0510592	95.8839	634.575	1.10482	70872	294.53	65779.7	4932.59
17	160	0.0563507	95.5849	638.592	0.808993	71124	296.816	65346.6	4923.71
17	173	0.062687	82.9639	1540.09	0.815539	37931.2	296.71	502775	6475.88
17	168	0.065211	95.9567	1537.6	0.810292	37975	296.08	505662	6458.79
17	167	0.0717779	96.3455	628.348	1.09622	70654.5	361.809	65524.3	4956.48
17	187	0.0721877	74.3759	641.902	0.803804	70681.3	296.471	65812.8	4880.23
17	174	0.0850171	74.2735	643.646	0.807242	70530.4	296.235	403715	4897.41
18	44	0.0261015	70.1663	992.541	1.6769	30114.3	171.362	131275	2242.71
18	184	0.0502856	95.2546	634.092	1.09536	70786.2	300.192	66212.7	4920.74
18	192	0.05051	95.4753	631.881	1.10586	70369	294.245	65314.4	4982.93
18	191	0.0506557	95.4988	629.996	1.08906	70473.3	295.758	65910.8	4943.34
18	186	0.050718	95.0485	640.251	1.11281	70950.4	295.345	65361.6	4942.71
18	171	0.0510592	95.8839	634.575	1.10482	70872	294.53	65779.7	4932.59
18	195	0.051533	96.8946	630.038	1.09736	70972.9	294.348	65223.1	4845.89
18	193	0.0559352	96.8867	639.083	0.811002	71292.4	293.95	66368	4844.99
18	160	0.0563507	95.5849	638.592	0.808993	71124	296.816	65346.6	4923.71
18	194	0.0570904	73.973	630.397	1.11226	71019.2	295.668	65616.1	4917.16
19	44	0.0261015	70.1663	992.541	1.6769	30114.3	171.362	131275	2242.71
19	184	0.0502856	95.2546	634.092	1.09536	70786.2	300.192	66212.7	4920.74
19	192	0.05051	95.4753	631.881	1.10586	70369	294.245	65314.4	4982.93
19	191	0.0506557	95.4988	629.996	1.08906	70473.3	295.758	65910.8	4943.34
19	186	0.050718	95.0485	640.251	1.11281	70950.4	295.345	65361.6	4942.71
19	209	0.0509646	94.1127	627.822	1.10962	71365.7	297.838	65988.8	4909.89
19	171	0.0510592	95.8839	634.575	1.10482	70872	294.53	65779.7	4932.59
19	195	0.051533	96.8946	630.038	1.09736	70972.9	294.348	65223.1	4845.89
19	202	0.0515526	96.5409	633.02	1.09922	71507.3	296.975	65380.1	4892.62
19	207	0.0532297	96.5609	632.97	1.09754	71539.3	291.254	65724.1	4855.01
20	44	0.0261015	70.1663	992.541	1.6769	30114.3	171.362	131275	2242.71
20	215	0.0332112	95.5289	640.391	1.68513	30050	170.939	130317	2248.69
20	184	0.0502856	95.2546	634.092	1.09536	70786.2	300.192	66212.7	4920.74
20	217	0.0504162	94.5486	638.94	1.08069	70615.1	298.179	66138.2	4913.57
20	220	0.0504539	93.657	632.49	1.107	70567.9	295.617	65979.3	4884.07
20	212	0.0505065	95.6987	628.41	1.10165	70530.9	296.498	65677.7	4917.99
20	192	0.05051	95.4753	631.881	1.10586	70369	294.245	65314.4	4982.93
20	191	0.0506557	95.4988	629.996	1.08906	70473.3	295.758	65910.8	4943.34
20	186	0.050718	95.0485	640.251	1.11281	70950.4	295.345	65361.6	4942.71
20	211	0.0508395	97.0139	633.487	1.10367	70251.3	292.298	64940.8	5014.52
